,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,temposoma_medio,desvio_temposoma,slope_individual
14,2199340.exe ,0.43374999999999997,0.008569568250501302,43.230373375,0.6252669033054886,43.149875,0.5952617990220749,0.01003345486372404
27,2820444.exe ,0.54125,0.0033071891388307415,51.668453125,0.25309630931842936,51.615125000000006,0.23349969887560854,0.010475444246232212
39,3855515.exe ,0.7775,0.006614378277661482,73.83006025,0.2845671362792742,73.765875,0.2520448558788654,0.01053094088461075
38,385049.exe  ,0.775,0.007071067811865481,74.35626950000001,0.5980032110770833,74.32625,0.5994248806147434,0.010422792929384387
84,690086.exe  ,0.7925,0.004330127018922197,75.757949,0.8219440035756692,75.72125,0.8369143848088679,0.010460948460999122
32,3216342.exe ,0.85875,0.009270248108869554,81.55029737500001,0.32861325589739054,81.474375,0.3262901076879313,0.010530311079690283
9,171227.exe  ,0.9962499999999999,0.01408678458698082,87.82443037499999,0.4947007214407386,87.769625,0.4905889158705088,0.01134365455882981
76,5976986.exe ,0.9375,0.004330127018922189,89.23961424999999,0.7052765577639994,89.210625,0.7030394614635804,0.010505424164806943
20,244450.exe  ,1.0025,0.006614378277661482,96.29746250000001,0.9122331468051368,96.234625,0.9022108868634825,0.01041045084651114
72,5690648.exe ,1.025,0.0050000000000000044,97.56657899999999,0.2140416616794504,97.53675000000001,0.21270798645090874,0.01050564661081332
81,6551688.exe ,1.1225,0.006614378277661482,107.35873587500001,0.5030652930762177,107.2835,0.5102337699525572,0.01045560001104102
7,1626177.exe ,1.2537500000000001,0.012183492931011217,121.4230905,0.7724888851334707,121.384375,0.7685757831046999,0.010325466061168985
48,4602054.exe ,1.2675,0.006614378277661482,121.684517625,0.6147257487526319,121.589375,0.6189095122673441,0.01041627994044489
61,5448241.exe ,1.2775,0.006614378277661482,121.87350574999999,0.27859589198997,121.831125,0.28122474886645327,0.010482179798951096
67,5600824.exe ,1.2775,0.012990381056766592,122.440006875,0.4946888050268135,122.388,0.5189096742208613,0.010433681217481556
74,5770138.exe ,1.27875,0.009270248108869587,122.84085375,0.6711756316234875,122.76825,0.6703196532252376,0.010409810425141238
78,6003108.exe ,1.34625,0.006959705453537534,128.822955625,0.6423371744346882,128.75225,0.6272407332914516,0.010450389012334851
2,1293444.exe ,1.3525,0.008291561975888507,130.70582512500002,0.6139209947268134,130.638375,0.5999897785587734,0.010347664296572412
33,3617839.exe ,1.5399999999999998,0.009999999999999953,140.29670825,0.7006205599901651,140.202625,0.64915578590581,0.01097673651227665
