,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,temposoma_medio,desvio_temposoma,slope_individual
83,7863059.exe ,0.5525,0.004330127018922197,45.97530625,0.3038687921643761,45.895875000000004,0.3417701850293578,0.012017320711158937
45,4619221.exe ,1.1612500000000001,0.007806247497998005,92.564462875,0.37070129100983845,92.52387499999999,0.3688896981144887,0.012545311277484147
15,2701337.exe ,1.1975000000000002,0.0066143782776613876,96.621054125,0.18279448766198741,96.583125,0.18686187244860722,0.012393779087224383
67,6786405.exe ,1.3587500000000001,0.012686114456365286,109.616287,0.40774781862690557,109.55224999999999,0.43209019602393195,0.012395511991753563
32,3930860.exe ,1.4062500000000002,0.014947825928876762,113.97896750000001,0.3910171665646536,113.935625,0.3970837246412925,0.01233780258625347
27,3660770.exe ,1.40625,0.009921567416492224,114.031798375,0.33422409463709135,113.98375,0.32385905499151796,0.012332086488502687
22,3324029.exe ,1.3912500000000003,0.010532687216470457,114.344778125,0.5732338000865027,114.26650000000001,0.593207594354626,0.012167149412622119
51,5071471.exe ,1.4175000000000002,0.006614378277661482,114.532713125,0.43995106030370906,114.447125,0.4320435271763681,0.012376376681594482
34,4006798.exe ,1.42375,0.009921567416492224,114.687920875,0.6116032904976957,114.61475000000002,0.5939967908162473,0.01241412338054123
62,6603653.exe ,1.4125,0.01198957880828181,114.8307685,0.4520193147195148,114.75175,0.44818320751674556,0.012300710153307038
52,5180754.exe ,1.4225,0.009682458365518551,116.22976650000001,0.7008343863456605,116.15299999999999,0.6666383952338801,0.012238689303398024
14,2665250.exe ,1.4387500000000002,0.007806247497997965,118.03435437499999,0.2472213910920392,117.965125,0.2642032539069123,0.012189247847529477
7,2134592.exe ,1.45875,0.007806247497997912,119.09951237499999,0.45557079881038837,119.077375,0.4635099614625325,0.012248160978249347
65,6658705.exe ,1.4775,0.014790199457749053,119.334183,0.4067978120980369,119.283625,0.3915606394608656,0.012381196760696808
20,3149650.exe ,1.4925000000000002,0.004330127018922197,121.678601125,0.3855400511712245,121.594,0.3572558606937049,0.012265920105925282
8,2365914.exe ,1.50875,0.010532687216470457,122.53795324999999,0.24855312996608478,122.49375,0.23953118272993076,0.012312511838041494
