,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,temposoma_medio,desvio_temposoma,slope_individual
0,1149166.exe ,0.13625,0.006959705453537527,13.395791875,0.09278566483357928,13.402750000000001,0.09453934366177887,0.010171104573091914
1,1659823.exe ,0.01125,0.003307189138830738,1.43284825,0.021390292808596608,1.434625,0.026532703876536976,0.007851494392375466
2,1716934.exe ,0.013750000000000002,0.004841229182759271,1.433102375,0.03440679863754218,1.4361249999999999,0.033201797767590885,0.00959456926446026
3,1793587.exe ,0.0175,0.004330127018922193,1.444354375,0.030967208963424142,1.446,0.025199206336708326,0.01211614012662232
4,1950459.exe ,0.3125,0.006614378277661482,29.2232505,0.1739341161136883,29.171375,0.1743444417668658,0.01069354006324519
5,1995279.exe ,0.13625,0.0048412291827592754,13.85811725,0.0504022086117016,13.857875,0.06318116313427612,0.009831782885225626
6,2012602.exe ,0.31,0.011180339887498959,30.091500125,0.2750839349914122,30.074375,0.29096345883117347,0.010301912457413586
7,2099466.exe ,0.27625,0.0048412291827592754,26.10143575,0.25470495697313744,26.100625,0.24835556038671658,0.010583708982368911
8,2230190.exe ,0.45,0.007071067811865481,50.569024625,0.25725679700444076,50.522875,0.25292856575523415,0.00889872809169295
9,232374.exe  ,0.16375,0.006959705453537534,17.480249875,0.4664554145635029,17.485875,0.4519849105611816,0.009367715059622398
10,2353585.exe ,0.11,0.0,10.9609505,0.07332095806282096,10.958375,0.053985964611183684,0.010035626016192666
11,2430690.exe ,0.01625,0.004841229182759271,1.4150268750000001,0.026542920541254927,1.415375,0.023430415595972715,0.011483880827351777
12,2545079.exe ,0.14875,0.010532687216470446,14.581463,0.09522147552548209,14.563,0.07340980860893175,0.010201308332366923
13,2745668.exe ,0.33,0.012247448713915901,31.919889875000003,0.3449356970264313,31.906625000000002,0.36907686784056376,0.010338381532401825
14,2764661.exe ,0.29375,0.011110243021644478,29.070105,0.23257916916342689,29.025875,0.29130372358588197,0.010104882662102528
15,279056.exe  ,0.13625,0.0048412291827592754,13.46113775,0.06132550358690513,13.465,0.05967202024399705,0.010121729866407466
16,2939537.exe ,0.1375,0.004330127018922197,13.430921375,0.1045513487681266,13.420125,0.11485581994396303,0.010237570168189597
17,3043260.exe ,0.013750000000000002,0.004841229182759271,1.4235685,0.037791202425300006,1.4172500000000001,0.057831111868958555,0.00965882569050945
18,3147371.exe ,0.11124999999999999,0.0033071891388307363,11.145694125,0.08481182024994716,11.126,0.09733319063916494,0.009981433076515545
19,3162106.exe ,0.27625,0.009921567416492204,26.958166,0.30031740249983807,26.922625,0.3249322765977548,0.010247358815136016
20,3323395.exe ,0.30125,0.009270248108869571,29.053850625000003,0.2144977976471657,29.056,0.2112889017435606,0.010368677249988443
21,3439954.exe ,0.1575,0.004330127018922197,16.2518985,0.2515182448059183,16.186875,0.2699293599721975,0.009691175464823388
22,3449984.exe ,0.17875,0.003307189138830732,17.633470875,0.1065997513029902,17.6295,0.11803918840791827,0.010136971970358047
23,346612.exe  ,0.2875,0.009682458365518528,28.413287375,0.21272493979252707,28.409625,0.22482156118797897,0.010118505338912759
24,3565465.exe ,0.245,0.007071067811865474,23.14912675,0.26631170736270193,23.134,0.2781245224715007,0.010583552573964804
25,3654061.exe ,0.013750000000000002,0.004841229182759271,1.4331922499999998,0.02370414657686495,1.431375,0.025154211873958603,0.009593967592275219
26,3729533.exe ,0.16625,0.0048412291827592754,16.980367750000003,0.11320092397232318,16.96575,0.11449099309552703,0.009790718460735339
27,3732533.exe ,0.18375,0.0048412291827592754,18.49140025,0.17788871108065704,18.4595,0.17698870020427845,0.009937051684336343
28,3765927.exe ,0.12,0.007071067811865477,11.79176525,0.09484003376969831,11.76425,0.06628678224201315,0.010176593364593992
29,3822578.exe ,0.16375,0.009921567416492217,16.78406625,0.2017450570879928,16.705375,0.2449040309488593,0.009756277028518046
30,3883933.exe ,0.0125,0.004330127018922193,1.4420074999999999,0.05555995510932309,1.4535,0.05560350708363635,0.008668470864402578
31,3950735.exe ,0.18375,0.008569568250501309,18.443088875,0.20935921296090446,18.436125,0.21074536620054052,0.009963081631574038
32,4068144.exe ,0.015,0.005,1.421634375,0.01539643094955369,1.4362499999999998,0.015888281845435642,0.010551236143259408
33,4072037.exe ,0.13125,0.0033071891388307415,13.66095325,0.14109028823394418,13.642125,0.14815484931314304,0.00960767507201593
34,4104687.exe ,0.27625,0.006959705453537534,25.787537125,0.28394545511613556,25.75175,0.2852808922798722,0.010712539109917036
35,4114470.exe ,0.3025,0.006614378277661482,28.685685,0.2904803940049137,28.61575,0.3038633533350144,0.010545329490998734
36,4209745.exe ,0.17625,0.004841229182759262,17.22192725,0.16820682499660267,17.207250000000002,0.20313465361675634,0.010234046250543765
37,4227908.exe ,0.24875,0.005994789404140905,22.814468625,0.09691444794758132,22.743375,0.08115099737526371,0.010903168690390657
