,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,temposoma_medio,desvio_temposoma,slope_individual
0,1017040.exe ,0.43374999999999997,0.008569568250501312,40.922541624999994,3.5645203198460975,39.635000000000005,0.30358483163689154,0.010599292780363812
1,1140402.exe ,0.435,0.011180339887498959,39.604547375,0.4307333996429624,39.5905,0.43028827546192716,0.010983587209851303
2,1187270.exe ,0.18125,0.0033071891388307415,16.360322,0.14435240132831145,16.3455,0.1558982039665635,0.011078632804415463
3,1228057.exe ,0.41874999999999996,0.013635890143294636,39.698651625,0.8324373431120731,39.661249999999995,0.8547543141160502,0.010548217202830501
4,1357465.exe ,0.42625,0.0048412291827592754,39.541330875,0.732412175490933,39.55875,0.733637981227798,0.010779859720642243
5,1367032.exe ,0.44125000000000003,0.0078062474979980045,41.129744375,0.7050914174883532,41.133875,0.7156503052294475,0.010728245621390397
6,1370800.exe ,0.1225,0.004330127018922197,11.3245005,0.19783213699561036,11.320875,0.2008173532715736,0.010817254147324203
7,1671790.exe ,0.03875000000000001,0.003307189138830739,3.699717,0.17889509836074322,3.69225,0.17578235832983927,0.010473774075152237
8,1803796.exe ,0.175,0.007071067811865469,16.375487749999998,0.16203713372075382,16.369374999999998,0.17595804720159838,0.010686704583806978
9,1845510.exe ,0.48124999999999996,0.009270248108869571,45.030285875000004,0.5214841109598732,45.029375,0.506352875349792,0.010687251716231746
10,1992685.exe ,0.42,0.008660254037844395,40.385556625,0.8122591476937862,40.379875,0.7945433338559966,0.010399757613839747
11,2006045.exe ,0.12375,0.0048412291827592754,11.26977875,0.17665056179768446,11.262125,0.18703839011015863,0.010980694718607497
12,2169893.exe ,0.41500000000000004,0.007071067811865467,40.49825625,0.7755341501542261,40.502874999999996,0.7732198001700429,0.010247354785800192
13,2312876.exe ,0.12,0.0,11.152706375000001,0.10520369949880251,11.132875,0.10767942874569901,0.010759720193924677
14,2358896.exe ,0.03,0.0,3.2070819999999998,0.030173842057318413,3.198125,0.028937162525030046,0.009354297769748327
15,2395064.exe ,0.30874999999999997,0.009270248108869587,32.060365875,0.30605511084910775,32.055,0.3010170260965316,0.009630270633959194
16,2436754.exe ,0.18375,0.0048412291827592754,16.72695325,0.15309982716494905,16.720125000000003,0.15301261181680417,0.010985264157416115
17,2448903.exe ,0.41500000000000004,0.007071067811865467,38.84344625,0.6698584210205834,38.8285,0.6813427918456307,0.010683912990856213
18,2462469.exe ,0.0325,0.004330127018922194,3.404512875,0.014417029786310806,3.4057500000000003,0.01703489066592457,0.009546152766421834
19,2578170.exe ,0.2,0.0,18.41891375,0.1101750168706018,18.415,0.11349999999999986,0.01085840363414482
20,275342.exe  ,0.41000000000000003,0.013228756555322938,39.135133249999996,0.2778324978835043,39.12125,0.2710506179664597,0.01047651984166938
21,2802363.exe ,0.42625,0.013169567191065936,40.052496624999996,1.2026230858460945,40.02325,1.2280606408072867,0.010642282901634227
22,2823661.exe ,0.13875,0.005994789404140898,13.281497375,0.040249218582282566,13.251625,0.05750421180226704,0.010446864241465093
23,293813.exe  ,0.5875,0.006614378277661482,54.74778525,0.2748961186279047,54.729,0.27745855546369597,0.010731027699426436
24,3040402.exe ,0.15000000000000002,0.0049999999999999975,14.548826125000001,0.07687648155554093,14.5395,0.07131093885232491,0.010310110156739535
25,3095970.exe ,0.1675,0.004330127018922197,17.267950875,0.24761306209862874,17.256875,0.24971305407407135,0.009700050759496964
26,321299.exe  ,0.11,0.0,9.975758625000001,0.061702921999159346,9.958,0.06541215483379226,0.011026730310447942
27,3644759.exe ,0.035,0.005000000000000001,3.331174125,0.0355077638567874,3.325,0.03217918581940812,0.01050680591486643
28,3648700.exe ,0.42125,0.012686114456365262,39.5572595,0.2178246607159064,39.53175,0.20517781922030498,0.010649119916914366
29,391684.exe  ,0.4375,0.006614378277661482,41.51520375,0.4901753365893027,41.483875,0.5122681030232126,0.010538307908461126
30,4011765.exe ,0.04625,0.004841229182759272,4.304148375,0.02401001684160963,4.296749999999999,0.024370832977147185,0.01074544740804852
31,4055920.exe ,0.12625,0.0048412291827592754,12.292508375,0.05790147130241504,12.257,0.0887003382180705,0.010270483138881733
32,4076325.exe ,0.12125,0.0033071891388307415,11.209811375000001,0.1328575865437667,11.207374999999999,0.1373789808340417,0.010816417506400725
33,4162451.exe ,0.035,0.005000000000000001,3.537623625,0.02804508974373894,3.536875,0.02347039358425839,0.009893647179609165
34,4162787.exe ,0.4375,0.004330127018922197,42.293797624999996,1.082313666570132,42.26649999999999,1.095003652961941,0.010344306365654721
35,4234660.exe ,0.41875,0.010532687216470446,40.214697375,0.6568628969484314,40.205125,0.6621673575275364,0.01041285965912357
36,4310645.exe ,0.18625,0.0048412291827592754,16.670299625,0.16422630736040578,16.673625,0.16632192992807696,0.011172564632292865
37,4353494.exe ,0.43374999999999997,0.008569568250501312,42.279977875,0.5767635779130897,42.2645,0.576598213663554,0.010258993069541665
38,4359088.exe ,0.03125,0.003307189138830739,3.28015625,0.03699330422437966,3.269125,0.03572267312226236,0.009526985185538036
39,4401483.exe ,0.43,0.0,40.20681775,0.9139992743001437,40.118625,0.9386065386385298,0.010694703636424944
40,4445110.exe ,0.42874999999999996,0.0078062474979980045,40.177944499999995,0.996149961781483,40.17025,0.9888601708532901,0.01067127762098432
41,4547513.exe ,0.1875,0.006614378277661473,17.0348725,0.1460759276917314,17.008499999999998,0.11493041372935205,0.011006833188801385
42,4661444.exe ,0.2025,0.0043301270189221855,18.795893375,0.2670144581061754,18.786,0.2693380775159723,0.010773629960539188
43,481317.exe  ,0.42374999999999996,0.011110243021644496,40.448141625000005,0.669226324356144,40.413875000000004,0.6473782583428339,0.010476377479307738
44,4842228.exe ,0.475,0.009999999999999988,43.544881875,0.25606180044543914,43.506874999999994,0.269528030777875,0.010908285418330808
45,4871001.exe ,0.20375,0.006959705453537521,18.61565675,0.1535368532012347,18.598374999999997,0.15520626396830742,0.010945087929814778
46,4895496.exe ,0.4225,0.008291561975888507,39.628242625,1.1282678667981434,39.59425,1.1197987263343359,0.010661588100135944
47,5061073.exe ,0.18875,0.005994789404140905,17.246785875,0.15784167776955937,17.238125,0.15160016284621924,0.010944068150901189
48,5147312.exe ,0.035,0.005000000000000001,3.542340125,0.17172783999503208,3.541375,0.1781971783586934,0.00988047413995854
49,5166283.exe ,0.15250000000000002,0.006614378277661476,14.331024625,0.202517674211992,14.314124999999999,0.20786740815962446,0.01064124889814011
50,5262953.exe ,0.42125,0.010532687216470445,39.785131875000005,0.5247967261996389,39.75637499999999,0.5309074630997377,0.010588126270977705
51,5340199.exe ,0.15625,0.0048412291827592754,15.1148165,0.25426635476159637,15.10325,0.25601257293344004,0.010337538666116126
