file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1097695.exe ,  5.60,  2.05,  1.98,  0.00,  0.10,  197208231,  168667000,   28111000,  230956836, c++, elite, sing, 0
1097695.exe ,  5.51,  2.17,  2.10,  0.00,  0.10,  183751648,  153726000,   29946000,  195927719, c++, elite, sing, 0
1097695.exe ,  5.42,  2.14,  2.07,  0.00,  0.09,  182942646,  155914000,   26985000,  195218728, c++, elite, sing, 0
1097695.exe ,  5.47,  2.16,  2.09,  0.00,  0.09,  183838112,  153023000,   30803000,  196086649, c++, elite, sing, 0
1097695.exe ,  5.46,  2.14,  2.08,  0.00,  0.09,  184036823,  154012000,   30002000,  196209618, c++, elite, sing, 0
1097695.exe ,  5.50,  2.19,  2.12,  0.00,  0.10,  184803629,  158712000,   25952000,  197143242, c++, elite, sing, 0
1097695.exe ,  5.42,  2.16,  2.10,  0.00,  0.09,  182209689,  150158000,   32033000,  194487300, c++, elite, sing, 0
1097695.exe ,  5.44,  2.16,  2.09,  0.00,  0.09,  182547482,  151426000,   31087000,  194773644, c++, elite, sing, 0
1097695.exe ,  5.41,  2.15,  2.09,  0.00,  0.09,  182516372,  155580000,   26927000,  194725107, c++, elite, sing, 0
1097695.exe ,  5.43,  2.15,  2.09,  0.00,  0.09,  183031455,  161993000,   20999000,  195219646, c++, elite, sing, 0
1316078.exe ,  3.29,  1.37,  1.33,  0.00,  0.06,  107692791,  105680000,    1993000,  121458098, c++, elite, sing, 0
1316078.exe ,  3.32,  1.41,  1.38,  0.00,  0.06,  106559716,  105541000,    1005000,  118692943, c++, elite, sing, 0
1316078.exe ,  3.33,  1.40,  1.37,  0.00,  0.05,  106428350,  104410000,    1988000,  118638331, c++, elite, sing, 0
1316078.exe ,  3.36,  1.42,  1.37,  0.00,  0.06,  106505742,  105499000,     995000,  118689276, c++, elite, sing, 0
1316078.exe ,  3.85,  1.64,  1.60,  0.00,  0.07,  111793881,  108677000,    2991000,  124067584, c++, elite, sing, 0
1316078.exe ,  3.34,  1.41,  1.38,  0.00,  0.06,  106209316,  104165000,    2003000,  118457179, c++, elite, sing, 0
1316078.exe ,  3.34,  1.40,  1.37,  0.00,  0.05,  106392694,  104258000,    2004000,  118715653, c++, elite, sing, 0
1316078.exe ,  3.31,  1.39,  1.36,  0.00,  0.05,  106624891,  103652000,    2989000,  118866350, c++, elite, sing, 0
1316078.exe ,  3.34,  1.40,  1.36,  0.00,  0.06,  106010756,  102961000,    2998000,  118361115, c++, elite, sing, 0
1316078.exe ,  3.33,  1.41,  1.37,  0.00,  0.05,  106307422,  104278000,    2005000,  118488049, c++, elite, sing, 0
