file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1253138.exe ,  0.73,  0.26,  0.24,  0.00,  0.01,   25632703,   24566000,     982000,   38376158, c++, elite, sing, 10
1253138.exe ,  0.70,  0.24,  0.24,  0.00,  0.01,   25284233,   24274000,    1011000,   38000280, c++, elite, sing, 10
1346798.exe ,  0.75,  0.23,  0.22,  0.00,  0.02,   29767961,   26643000,    3074000,   44815087, c++, elite, sing, 10
1346798.exe ,  0.84,  0.30,  0.30,  0.00,  0.02,   30435237,   29333000,    1011000,   43185382, c++, elite, sing, 10
1346798.exe ,  0.80,  0.27,  0.25,  0.00,  0.02,   26641632,   22699000,    3947000,   39712898, c++, elite, sing, 10
1346798.exe ,  0.73,  0.25,  0.25,  0.00,  0.01,   27353024,   26331000,    1012000,   40805138, c++, elite, sing, 10
1346798.exe ,  0.76,  0.27,  0.26,  0.00,  0.01,   26621068,   24640000,    1971000,   39564121, c++, elite, sing, 10
1346798.exe ,  0.73,  0.26,  0.25,  0.00,  0.02,   26413687,   24371000,    2030000,   39104153, c++, elite, sing, 10
1346798.exe ,  0.76,  0.26,  0.25,  0.00,  0.02,   27146365,   25109000,    2008000,   39799703, c++, elite, sing, 10
1346798.exe ,  0.74,  0.26,  0.25,  0.00,  0.01,   26765290,   23780000,    2972000,   39620654, c++, elite, sing, 10
1346798.exe ,  0.75,  0.27,  0.26,  0.00,  0.02,   27300953,   23396000,    3899000,   40084717, c++, elite, sing, 10
1346798.exe ,  0.74,  0.27,  0.26,  0.00,  0.01,   26762420,   23720000,    2965000,   39895914, c++, elite, sing, 10
1399024.exe ,  0.72,  0.24,  0.23,  0.00,  0.01,   25302724,   25297000,          0,   38010610, c++, elite, sing, 10
1399024.exe ,  0.70,  0.25,  0.23,  0.00,  0.01,   24736744,   23753000,     989000,   37493839, c++, elite, sing, 10
1399024.exe ,  0.67,  0.24,  0.24,  0.00,  0.01,   24759154,   23766000,     990000,   37470684, c++, elite, sing, 10
1399024.exe ,  0.69,  0.25,  0.24,  0.00,  0.01,   24885250,   22891000,    1990000,   37705353, c++, elite, sing, 10
1399024.exe ,  0.69,  0.25,  0.24,  0.00,  0.01,   24996524,   23998000,     999000,   37498765, c++, elite, sing, 10
1399024.exe ,  0.69,  0.25,  0.24,  0.00,  0.01,   25009587,   24997000,          0,   37544184, c++, elite, sing, 10
1399024.exe ,  0.71,  0.25,  0.24,  0.00,  0.01,   25280124,   25273000,          0,   38147189, c++, elite, sing, 10
1399024.exe ,  0.67,  0.23,  0.23,  0.00,  0.01,   25278549,   23330000,    1944000,   38005549, c++, elite, sing, 10
1399024.exe ,  0.70,  0.25,  0.24,  0.00,  0.01,   24964054,   23961000,     998000,   37601089, c++, elite, sing, 10
1399024.exe ,  0.74,  0.25,  0.24,  0.00,  0.01,   24761672,   24756000,          0,   37476433, c++, elite, sing, 10
1604797.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   10981722,    9978000,     997000,   23559755, c++, elite, sing, 10
1604797.exe ,  0.34,  0.12,  0.11,  0.00,  0.01,   11143811,   11143000,          0,   24084437, c++, elite, sing, 10
1604797.exe ,  0.30,  0.11,  0.10,  0.00,  0.01,   11133515,    9105000,    2023000,   23835987, c++, elite, sing, 10
1604797.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11174053,    9140000,    2031000,   23822776, c++, elite, sing, 10
1604797.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11103213,   11096000,          0,   24141852, c++, elite, sing, 10
1604797.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11211741,    9160000,    2035000,   23957817, c++, elite, sing, 10
1604797.exe ,  0.31,  0.11,  0.10,  0.00,  0.01,   11079443,   10073000,    1007000,   24068132, c++, elite, sing, 10
1604797.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   11048396,   11050000,          0,   23539636, c++, elite, sing, 10
1604797.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11092796,    8046000,    3017000,   23753582, c++, elite, sing, 10
1604797.exe ,  0.33,  0.11,  0.10,  0.00,  0.01,   10939257,    8949000,    1988000,   23692425, c++, elite, sing, 10
166404.exe  ,  0.67,  0.24,  0.24,  0.00,  0.01,   24459342,   22501000,    1956000,   37006185, c++, elite, sing, 10
