file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1898852.exe ,  0.47,  0.17,  0.16,  0.00,  0.01,   16184796,   13320000,    2854000,   28949310, c++, elite, mult, 10
1898852.exe ,  0.50,  0.16,  0.15,  0.00,  0.01,   16524415,   14582000,    1944000,   29384095, c++, elite, mult, 10
2048785.exe ,  4.19,  1.54,  1.49,  0.00,  0.08,  154939251,  152814000,    1997000,  167578330, c++, elite, mult, 10
2048785.exe ,  4.13,  1.46,  1.41,  0.00,  0.08,  154779711,  153776000,     998000,  168064975, c++, elite, mult, 10
2048785.exe ,  4.02,  1.48,  1.43,  0.00,  0.08,  151317636,  150312000,    1002000,  164077648, c++, elite, mult, 10
2048785.exe ,  4.09,  1.51,  1.45,  0.00,  0.08,  154869819,  152868000,    1998000,  167818099, c++, elite, mult, 10
2048785.exe ,  4.17,  1.50,  1.46,  0.00,  0.08,  152563983,  152564000,          0,  165650301, c++, elite, mult, 10
2048785.exe ,  4.18,  1.54,  1.48,  0.00,  0.08,  156753240,  155457000,     996000,  169487121, c++, elite, mult, 10
2048785.exe ,  4.16,  1.52,  1.47,  0.00,  0.08,  159490957,  158480000,    1003000,  172409111, c++, elite, mult, 10
2048785.exe ,  4.18,  1.50,  1.44,  0.00,  0.08,  152121386,  150123000,    1988000,  165411014, c++, elite, mult, 10
2048785.exe ,  4.24,  1.58,  1.53,  0.00,  0.08,  159918513,  158915000,     999000,  172585805, c++, elite, mult, 10
2048785.exe ,  4.11,  1.52,  1.47,  0.00,  0.08,  154584699,  153582000,     997000,  166937265, c++, elite, mult, 10
2054972.exe ,  4.46,  1.57,  1.51,  0.00,  0.09,  160365966,  156263000,    4006000,  173545108, c++, elite, mult, 10
2054972.exe ,  4.62,  1.55,  1.49,  0.00,  0.09,  162770220,  156767000,    5991000,  175536456, c++, elite, mult, 10
2054972.exe ,  4.47,  1.57,  1.52,  0.00,  0.09,  159449035,  153353000,    6013000,  172123358, c++, elite, mult, 10
