file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1291495.exe ,  2.17,  0.25,  0.20,  0.00,  0.07,  126337836,  117344000,    9026000,  167009256, c++, elite, mult, 2
1291495.exe ,  2.12,  0.24,  0.20,  0.00,  0.07,  123779450,  106674000,   17108000,  163888913, c++, elite, mult, 2
1316604.exe ,  4.34,  0.50,  0.41,  0.00,  0.14,  253237606,  230227000,   23022000,  293267897, c++, elite, mult, 2
1316604.exe ,  4.27,  0.50,  0.41,  0.00,  0.14,  251695314,  232635000,   19052000,  292128355, c++, elite, mult, 2
1316604.exe ,  4.42,  0.51,  0.42,  0.00,  0.15,  259806886,  240629000,   18970000,  301505710, c++, elite, mult, 2
1316604.exe ,  4.31,  0.50,  0.41,  0.00,  0.14,  256602331,  239554000,   17039000,  298742450, c++, elite, mult, 2
1316604.exe ,  4.37,  0.51,  0.42,  0.00,  0.15,  259647859,  232760000,   26856000,  303480616, c++, elite, mult, 2
1316604.exe ,  4.55,  0.52,  0.43,  0.00,  0.15,  265794782,  250806000,   14988000,  308711292, c++, elite, mult, 2
1316604.exe ,  4.38,  0.51,  0.42,  0.00,  0.15,  260019189,  238094000,   21916000,  302362819, c++, elite, mult, 2
1316604.exe ,  4.53,  0.52,  0.43,  0.00,  0.15,  264356038,  241493000,   22857000,  309036706, c++, elite, mult, 2
1316604.exe ,  4.29,  0.50,  0.41,  0.00,  0.15,  253102012,  233188000,   19930000,  294530813, c++, elite, mult, 2
1316604.exe ,  4.27,  0.50,  0.41,  0.00,  0.14,  253582439,  232513000,   21046000,  294182402, c++, elite, mult, 2
1376560.exe ,  4.29,  0.50,  0.41,  0.00,  0.14,  253301312,  234369000,   18949000,  293828544, c++, elite, mult, 2
1376560.exe ,  4.27,  0.50,  0.41,  0.00,  0.14,  253339185,  237294000,   16019000,  294560590, c++, elite, mult, 2
1376560.exe ,  4.47,  0.51,  0.42,  0.00,  0.15,  257405348,  237295000,   20024000,  296652104, c++, elite, mult, 2
1376560.exe ,  4.20,  0.49,  0.40,  0.00,  0.14,  248641152,  237594000,   11027000,  288817054, c++, elite, mult, 2
1376560.exe ,  4.12,  0.48,  0.39,  0.00,  0.14,  241448846,  222376000,   19032000,  280390238, c++, elite, mult, 2
1376560.exe ,  4.28,  0.50,  0.41,  0.00,  0.14,  254244698,  239205000,   14950000,  294575184, c++, elite, mult, 2
1376560.exe ,  4.36,  0.51,  0.42,  0.00,  0.15,  257601110,  239600000,   17970000,  298873354, c++, elite, mult, 2
1376560.exe ,  4.53,  0.51,  0.42,  0.00,  0.15,  260327575,  242232000,   18017000,  302440560, c++, elite, mult, 2
1376560.exe ,  4.25,  0.49,  0.40,  0.00,  0.14,  249362160,  232332000,   17024000,  290837771, c++, elite, mult, 2
1376560.exe ,  4.16,  0.48,  0.39,  0.00,  0.14,  243654070,  225461000,   17957000,  283902615, c++, elite, mult, 2
1407254.exe ,  4.20,  0.48,  0.40,  0.00,  0.14,  244994822,  230896000,   14054000,  283857025, c++, elite, mult, 2
1407254.exe ,  4.35,  0.51,  0.42,  0.00,  0.14,  256705652,  239417000,   17029000,  296299086, c++, elite, mult, 2
1407254.exe ,  4.37,  0.50,  0.41,  0.00,  0.14,  254426748,  239384000,   15024000,  295015163, c++, elite, mult, 2
1407254.exe ,  4.44,  0.52,  0.43,  0.00,  0.15,  264567830,  248596000,   15974000,  305658088, c++, elite, mult, 2
1407254.exe ,  4.46,  0.52,  0.43,  0.00,  0.15,  266394528,  249347000,   17023000,  309552020, c++, elite, mult, 2
1407254.exe ,  4.47,  0.52,  0.43,  0.00,  0.15,  265421143,  248275000,   17018000,  307141729, c++, elite, mult, 2
1407254.exe ,  4.46,  0.52,  0.43,  0.00,  0.15,  264588216,  244549000,   19963000,  306225225, c++, elite, mult, 2
1407254.exe ,  4.51,  0.52,  0.43,  0.00,  0.15,  264879833,  249879000,   14992000,  305754636, c++, elite, mult, 2
1407254.exe ,  4.35,  0.51,  0.42,  0.00,  0.15,  259547761,  242473000,   17033000,  301405129, c++, elite, mult, 2
1407254.exe ,  4.48,  0.53,  0.43,  0.00,  0.15,  267535759,  247477000,   20038000,  310656035, c++, elite, mult, 2
1442933.exe ,  4.09,  0.47,  0.39,  0.00,  0.14,  241048041,  220140000,   20918000,  278906550, c++, elite, mult, 2
1442933.exe ,  4.15,  0.48,  0.40,  0.00,  0.14,  244086505,  227083000,   17006000,  282371496, c++, elite, mult, 2
1442933.exe ,  4.36,  0.51,  0.42,  0.00,  0.14,  257433559,  240401000,   17028000,  297881648, c++, elite, mult, 2
1442933.exe ,  4.23,  0.49,  0.40,  0.00,  0.14,  248425292,  231188000,   17013000,  286951893, c++, elite, mult, 2
1442933.exe ,  4.31,  0.49,  0.40,  0.00,  0.14,  250093183,  231999000,   18077000,  291292453, c++, elite, mult, 2
1442933.exe ,  4.20,  0.49,  0.40,  0.00,  0.14,  246892335,  232737000,   14044000,  285715899, c++, elite, mult, 2
1442933.exe ,  4.39,  0.51,  0.42,  0.00,  0.14,  256977000,  239919000,   16994000,  298162674, c++, elite, mult, 2
1442933.exe ,  4.43,  0.51,  0.42,  0.00,  0.15,  261729401,  248735000,   12986000,  305372026, c++, elite, mult, 2
1442933.exe ,  4.49,  0.52,  0.43,  0.00,  0.15,  263069822,  247005000,   16000000,  302522572, c++, elite, mult, 2
1442933.exe ,  4.54,  0.52,  0.43,  0.00,  0.15,  263455220,  242122000,   21010000,  306605029, c++, elite, mult, 2
1477356.exe ,  4.73,  0.55,  0.45,  0.00,  0.16,  277700238,  259788000,   17916000,  320784643, c++, elite, mult, 2
1477356.exe ,  4.86,  0.57,  0.46,  0.00,  0.16,  286581348,  265498000,   21039000,  331524434, c++, elite, mult, 2
1477356.exe ,  4.67,  0.53,  0.44,  0.00,  0.15,  271887805,  252904000,   18992000,  314885743, c++, elite, mult, 2
1477356.exe ,  4.75,  0.55,  0.45,  0.00,  0.16,  277764880,  261639000,   16039000,  321553425, c++, elite, mult, 2
1477356.exe ,  4.56,  0.53,  0.44,  0.00,  0.15,  269499124,  255457000,   14025000,  314165666, c++, elite, mult, 2
1477356.exe ,  4.62,  0.54,  0.44,  0.00,  0.15,  271472986,  254426000,   17028000,  314235955, c++, elite, mult, 2
1477356.exe ,  4.70,  0.55,  0.45,  0.00,  0.15,  276888753,  259788000,   17051000,  320140617, c++, elite, mult, 2
1477356.exe ,  4.75,  0.55,  0.45,  0.00,  0.16,  276067166,  255165000,   20931000,  319422196, c++, elite, mult, 2
1477356.exe ,  4.59,  0.53,  0.44,  0.00,  0.15,  270778419,  252874000,   17920000,  313911999, c++, elite, mult, 2
1477356.exe ,  4.71,  0.54,  0.44,  0.00,  0.15,  272781360,  254775000,   17984000,  314443219, c++, elite, mult, 2
1510302.exe ,  4.49,  0.52,  0.43,  0.00,  0.15,  263370013,  245345000,   17879000,  305560532, c++, elite, mult, 2
1510302.exe ,  4.69,  0.53,  0.43,  0.00,  0.15,  267884402,  251891000,   15993000,  311044910, c++, elite, mult, 2
1510302.exe ,  4.59,  0.52,  0.43,  0.00,  0.15,  265554046,  252388000,   13020000,  307257354, c++, elite, mult, 2
1510302.exe ,  4.32,  0.50,  0.41,  0.00,  0.14,  253379188,  242323000,   11014000,  294016053, c++, elite, mult, 2
1510302.exe ,  4.25,  0.48,  0.40,  0.00,  0.14,  246713984,  232701000,   14042000,  288212579, c++, elite, mult, 2
