file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
120780.exe  ,  7.00,  2.15,  2.05,  0.00,  0.15,  287598119,  284366000,    3003000,  319893178, c++, elite, mult, 8
120780.exe  ,  6.71,  2.19,  2.10,  0.00,  0.14,  276958932,  275951000,     999000,  290526894, c++, elite, mult, 8
120780.exe  ,  6.93,  2.20,  2.10,  0.00,  0.14,  277583371,  276491000,    1001000,  291181662, c++, elite, mult, 8
120780.exe  ,  6.70,  2.19,  2.09,  0.00,  0.14,  277952126,  275884000,    1999000,  292188562, c++, elite, mult, 8
120780.exe  ,  6.89,  2.20,  2.10,  0.00,  0.14,  276906591,  274862000,    1999000,  290614749, c++, elite, mult, 8
120780.exe  ,  6.87,  2.20,  2.10,  0.00,  0.14,  276769481,  276760000,          0,  290405875, c++, elite, mult, 8
120780.exe  ,  6.83,  2.19,  2.10,  0.00,  0.14,  277050775,  275878000,    1003000,  290881720, c++, elite, mult, 8
120780.exe  ,  6.74,  2.19,  2.09,  0.00,  0.14,  276461796,  274466000,    1996000,  289890352, c++, elite, mult, 8
120780.exe  ,  6.72,  2.19,  2.09,  0.00,  0.14,  277595266,  277582000,          0,  291537937, c++, elite, mult, 8
120780.exe  ,  6.86,  2.20,  2.10,  0.00,  0.14,  278847414,  278808000,          0,  292693516, c++, elite, mult, 8
1230547.exe ,  1.30,  0.40,  0.38,  0.00,  0.03,   51332798,   50334000,    1006000,   64687946, c++, elite, mult, 8
1230547.exe ,  1.26,  0.39,  0.37,  0.00,  0.03,   51534558,   49475000,    1979000,   65046115, c++, elite, mult, 8
1230547.exe ,  1.28,  0.38,  0.37,  0.00,  0.03,   51402000,   51408000,          0,   64539347, c++, elite, mult, 8
1230547.exe ,  1.36,  0.38,  0.36,  0.00,  0.03,   52036445,   52030000,          0,   65187427, c++, elite, mult, 8
1230547.exe ,  1.31,  0.40,  0.37,  0.00,  0.03,   51120154,   50044000,    1000000,   65980973, c++, elite, mult, 8
1230547.exe ,  1.26,  0.37,  0.35,  0.00,  0.03,   53023243,   52028000,    1000000,   66402239, c++, elite, mult, 8
1230547.exe ,  1.28,  0.38,  0.37,  0.00,  0.03,   51501308,   51518000,          0,   64964674, c++, elite, mult, 8
1230547.exe ,  1.30,  0.40,  0.38,  0.00,  0.03,   50919858,   50951000,          0,   64254303, c++, elite, mult, 8
1230547.exe ,  1.27,  0.40,  0.38,  0.00,  0.03,   50542571,   49532000,    1010000,   64228138, c++, elite, mult, 8
1230547.exe ,  1.36,  0.39,  0.38,  0.00,  0.03,   50378232,   50385000,          0,   63533860, c++, elite, mult, 8
1231818.exe ,  1.10,  0.31,  0.30,  0.00,  0.02,   45262634,   44280000,     984000,   58209012, c++, elite, mult, 8
1231818.exe ,  1.12,  0.33,  0.32,  0.00,  0.02,   43309753,   43306000,          0,   56633821, c++, elite, mult, 8
1231818.exe ,  1.12,  0.34,  0.33,  0.00,  0.02,   43059895,   42023000,    1000000,   56257042, c++, elite, mult, 8
1231818.exe ,  1.09,  0.34,  0.32,  0.00,  0.02,   42803142,   42802000,          0,   56003085, c++, elite, mult, 8
1231818.exe ,  1.08,  0.34,  0.32,  0.00,  0.02,   42834172,   41816000,     995000,   56251944, c++, elite, mult, 8
1231818.exe ,  1.08,  0.31,  0.30,  0.00,  0.02,   45531178,   44550000,     990000,   59090905, c++, elite, mult, 8
1231818.exe ,  1.07,  0.33,  0.32,  0.00,  0.02,   43175018,   43127000,          0,   56451868, c++, elite, mult, 8
1231818.exe ,  1.07,  0.33,  0.32,  0.00,  0.02,   43138242,   43150000,          0,   56413451, c++, elite, mult, 8
1231818.exe ,  1.16,  0.34,  0.32,  0.00,  0.02,   42941345,   40908000,    1995000,   56254519, c++, elite, mult, 8
1231818.exe ,  1.10,  0.33,  0.31,  0.00,  0.02,   43709226,   41726000,    1986000,   57055015, c++, elite, mult, 8
1290864.exe ,  0.72,  0.21,  0.20,  0.00,  0.02,   28420783,   27409000,    1015000,   42492000, c++, elite, mult, 8
1290864.exe ,  0.69,  0.21,  0.20,  0.00,  0.02,   28216909,   26280000,    1946000,   41746305, c++, elite, mult, 8
1290864.exe ,  0.72,  0.20,  0.18,  0.00,  0.02,   29377127,   28375000,    1013000,   42912712, c++, elite, mult, 8
1290864.exe ,  0.68,  0.21,  0.21,  0.00,  0.01,   27587299,   26606000,     985000,   40904303, c++, elite, mult, 8
1290864.exe ,  0.72,  0.21,  0.19,  0.00,  0.02,   29448957,   27482000,    1963000,   43171577, c++, elite, mult, 8
1290864.exe ,  0.69,  0.21,  0.20,  0.00,  0.01,   27898608,   27902000,          0,   41346751, c++, elite, mult, 8
1290864.exe ,  0.74,  0.21,  0.20,  0.00,  0.01,   27862582,   27896000,          0,   41373020, c++, elite, mult, 8
1290864.exe ,  0.73,  0.22,  0.20,  0.00,  0.02,   28488168,   27513000,     982000,   41997183, c++, elite, mult, 8
1290864.exe ,  0.69,  0.21,  0.21,  0.00,  0.01,   27423161,   27433000,          0,   40898953, c++, elite, mult, 8
1290864.exe ,  0.70,  0.20,  0.19,  0.00,  0.02,   29037914,   28051000,    1001000,   43230340, c++, elite, mult, 8
1318308.exe ,  1.71,  0.51,  0.49,  0.00,  0.04,   69690449,   69613000,          0,   83772674, c++, elite, mult, 8
1318308.exe ,  1.78,  0.52,  0.50,  0.00,  0.03,   68082311,   67086000,    1001000,   81494847, c++, elite, mult, 8
1318308.exe ,  1.69,  0.53,  0.51,  0.00,  0.04,   67251882,   66270000,     989000,   80758776, c++, elite, mult, 8
1318308.exe ,  1.74,  0.53,  0.51,  0.00,  0.04,   68533472,   67465000,     992000,   82228017, c++, elite, mult, 8
1318308.exe ,  1.70,  0.53,  0.51,  0.00,  0.04,   67490666,   65527000,    1985000,   80964093, c++, elite, mult, 8
1318308.exe ,  1.67,  0.53,  0.51,  0.00,  0.03,   67385480,   66395000,     990000,   81299465, c++, elite, mult, 8
1318308.exe ,  1.79,  0.53,  0.51,  0.00,  0.04,   67964396,   66970000,     999000,   81212203, c++, elite, mult, 8
1318308.exe ,  1.68,  0.53,  0.50,  0.00,  0.03,   67505104,   66519000,     992000,   81222854, c++, elite, mult, 8
1318308.exe ,  1.67,  0.53,  0.51,  0.00,  0.03,   68109097,   68114000,          0,   81547949, c++, elite, mult, 8
1318308.exe ,  1.69,  0.53,  0.50,  0.00,  0.04,   68386749,   68394000,          0,   82270007, c++, elite, mult, 8
1340102.exe ,  3.49,  1.09,  1.04,  0.00,  0.07,  141614155,  141535000,          0,  155827359, c++, elite, mult, 8
1340102.exe ,  3.43,  1.11,  1.05,  0.00,  0.07,  140862076,  139859000,     998000,  154201949, c++, elite, mult, 8
1340102.exe ,  3.44,  1.10,  1.05,  0.00,  0.07,  140975725,  140982000,          0,  154439235, c++, elite, mult, 8
1340102.exe ,  3.56,  1.11,  1.06,  0.00,  0.07,  139418867,  136432000,    2987000,  153065753, c++, elite, mult, 8
1340102.exe ,  3.41,  1.10,  1.06,  0.00,  0.07,  139361179,  138356000,    1002000,  152671826, c++, elite, mult, 8
1340102.exe ,  3.52,  1.12,  1.07,  0.00,  0.07,  140646405,  139589000,     997000,  154124014, c++, elite, mult, 8
1340102.exe ,  3.63,  1.12,  1.07,  0.00,  0.07,  140493700,  139432000,     995000,  153999014, c++, elite, mult, 8
1340102.exe ,  3.47,  1.10,  1.06,  0.00,  0.07,  139620190,  139633000,          0,  153176663, c++, elite, mult, 8
1340102.exe ,  3.50,  1.10,  1.06,  0.00,  0.07,  139526437,  139530000,          0,  153012306, c++, elite, mult, 8
1340102.exe ,  3.57,  1.10,  1.06,  0.00,  0.07,  140368321,  140383000,          0,  154080737, c++, elite, mult, 8
1570142.exe ,  0.40,  0.12,  0.12,  0.00,  0.01,   15520272,   13579000,    1939000,   29084024, c++, elite, mult, 8
1570142.exe ,  0.40,  0.11,  0.10,  0.00,  0.01,   16411470,   15384000,    1025000,   29747898, c++, elite, mult, 8
1570142.exe ,  0.40,  0.12,  0.11,  0.00,  0.01,   15871285,   14891000,     992000,   29421325, c++, elite, mult, 8
1570142.exe ,  0.39,  0.11,  0.10,  0.00,  0.01,   16388129,   16399000,          0,   30103391, c++, elite, mult, 8
1570142.exe ,  0.43,  0.11,  0.10,  0.00,  0.01,   15913261,   14944000,     996000,   29471854, c++, elite, mult, 8
1570142.exe ,  0.45,  0.12,  0.12,  0.00,  0.01,   16047783,   14976000,     998000,   29633122, c++, elite, mult, 8
1570142.exe ,  0.40,  0.12,  0.11,  0.00,  0.01,   15785401,   14811000,     987000,   29257136, c++, elite, mult, 8
1570142.exe ,  0.39,  0.11,  0.11,  0.00,  0.01,   15783116,   15793000,          0,   29306904, c++, elite, mult, 8
1570142.exe ,  0.41,  0.13,  0.11,  0.00,  0.01,   15371536,   14422000,     961000,   28657327, c++, elite, mult, 8
