file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
1044060.exe ,  4.16,  1.56,  1.49,  0.00,  0.09,  137126690,  124831000,   10985000,  149730660, c++, elite, mult, 0
1044060.exe ,  4.01,  1.60,  1.56,  0.00,  0.08,  128563334,  111336000,   17051000,  140788130, c++, elite, mult, 0
1044060.exe ,  4.01,  1.59,  1.55,  0.00,  0.08,  128481013,  118318000,    9942000,  140681544, c++, elite, mult, 0
1044060.exe ,  4.03,  1.59,  1.55,  0.00,  0.08,  126757259,  119508000,    7029000,  138856639, c++, elite, mult, 0
1044060.exe ,  4.04,  1.61,  1.56,  0.00,  0.08,  128876455,  121666000,    6980000,  141297475, c++, elite, mult, 0
1044060.exe ,  4.08,  1.61,  1.56,  0.00,  0.08,  128357624,  118083000,   10007000,  140622928, c++, elite, mult, 0
1044060.exe ,  4.06,  1.59,  1.55,  0.00,  0.08,  127247904,  117979000,    8922000,  139535407, c++, elite, mult, 0
1044060.exe ,  3.93,  1.55,  1.51,  0.00,  0.07,  126769789,  116617000,    9967000,  138927985, c++, elite, mult, 0
1044060.exe ,  4.02,  1.56,  1.51,  0.00,  0.08,  129603483,  121471000,    7965000,  141913488, c++, elite, mult, 0
1044060.exe ,  4.00,  1.58,  1.53,  0.00,  0.08,  127485712,  117261000,   10022000,  139758256, c++, elite, mult, 0
1056877.exe ,  3.83,  1.51,  1.46,  0.00,  0.08,  122218520,  118194000,    4006000,  135663160, c++, elite, mult, 0
1056877.exe ,  3.82,  1.51,  1.47,  0.00,  0.08,  121828272,  114780000,    6986000,  134067075, c++, elite, mult, 0
1056877.exe ,  3.83,  1.51,  1.47,  0.00,  0.08,  122135507,  117085000,    5003000,  134409308, c++, elite, mult, 0
1056877.exe ,  3.80,  1.50,  1.45,  0.00,  0.08,  121206678,  117175000,    4006000,  133465921, c++, elite, mult, 0
1056877.exe ,  3.95,  1.55,  1.50,  0.00,  0.08,  124029330,  119962000,    3998000,  136460671, c++, elite, mult, 0
1056877.exe ,  3.81,  1.49,  1.45,  0.00,  0.07,  120973621,  117913000,    2997000,  133294937, c++, elite, mult, 0
1056877.exe ,  3.82,  1.49,  1.45,  0.00,  0.08,  121678257,  117637000,    3987000,  133913181, c++, elite, mult, 0
1056877.exe ,  3.84,  1.51,  1.46,  0.00,  0.07,  120757127,  114699000,    6036000,  133049604, c++, elite, mult, 0
1056877.exe ,  3.88,  1.51,  1.47,  0.00,  0.08,  122306594,  119313000,    2982000,  134697143, c++, elite, mult, 0
1056877.exe ,  3.84,  1.49,  1.44,  0.00,  0.08,  121100995,  115062000,    6003000,  133380254, c++, elite, mult, 0
1110958.exe ,  1.62,  0.63,  0.61,  0.00,  0.04,   51894894,   48880000,    2992000,   64947817, c++, elite, mult, 0
1110958.exe ,  1.58,  0.61,  0.59,  0.00,  0.04,   50681704,   45586000,    5065000,   62895496, c++, elite, mult, 0
1110958.exe ,  1.63,  0.62,  0.60,  0.00,  0.04,   51044646,   47010000,    4000000,   63393131, c++, elite, mult, 0
1110958.exe ,  1.68,  0.63,  0.61,  0.00,  0.04,   51538488,   46438000,    5047000,   63810193, c++, elite, mult, 0
1110958.exe ,  1.63,  0.62,  0.60,  0.00,  0.04,   51292274,   49188000,    2007000,   63513700, c++, elite, mult, 0
1110958.exe ,  1.55,  0.60,  0.59,  0.00,  0.03,   50526803,   45549000,    4951000,   62704202, c++, elite, mult, 0
1110958.exe ,  1.63,  0.62,  0.61,  0.00,  0.03,   50603773,   49571000,    1011000,   62836216, c++, elite, mult, 0
1110958.exe ,  1.59,  0.62,  0.60,  0.00,  0.03,   50654270,   44698000,    5959000,   62908043, c++, elite, mult, 0
1110958.exe ,  1.57,  0.61,  0.60,  0.00,  0.04,   51626493,   48561000,    3035000,   63830722, c++, elite, mult, 0
1110958.exe ,  1.63,  0.62,  0.60,  0.00,  0.04,   52057891,   48987000,    2999000,   64326143, c++, elite, mult, 0
1196025.exe ,  1.64,  0.62,  0.60,  0.00,  0.04,   51804877,   46806000,    4979000,   65595309, c++, elite, mult, 0
1196025.exe ,  1.67,  0.62,  0.61,  0.00,  0.04,   52251447,   49215000,    3013000,   64568942, c++, elite, mult, 0
1196025.exe ,  1.68,  0.64,  0.62,  0.00,  0.04,   53013909,   45104000,    7844000,   65289096, c++, elite, mult, 0
1196025.exe ,  1.65,  0.62,  0.60,  0.00,  0.04,   53171881,   48080000,    5008000,   65459385, c++, elite, mult, 0
1196025.exe ,  1.63,  0.63,  0.61,  0.00,  0.04,   51889192,   47731000,    4062000,   64026868, c++, elite, mult, 0
1196025.exe ,  1.58,  0.60,  0.59,  0.00,  0.03,   51478118,   42437000,    8882000,   63633788, c++, elite, mult, 0
1196025.exe ,  1.64,  0.63,  0.61,  0.00,  0.04,   52840520,   47821000,    4981000,   65121418, c++, elite, mult, 0
1196025.exe ,  1.63,  0.62,  0.61,  0.00,  0.04,   53609899,   52520000,    1010000,   65956726, c++, elite, mult, 0
1196025.exe ,  1.70,  0.64,  0.61,  0.00,  0.04,   53861146,   46852000,    6978000,   66164092, c++, elite, mult, 0
1196025.exe ,  1.66,  0.64,  0.62,  0.00,  0.04,   53133849,   49099000,    4008000,   65314278, c++, elite, mult, 0
1313602.exe ,  1.62,  0.61,  0.60,  0.00,  0.04,   51119483,   46087000,    5009000,   64811591, c++, elite, mult, 0
1313602.exe ,  1.62,  0.62,  0.60,  0.00,  0.04,   51587986,   44620000,    6940000,   63920685, c++, elite, mult, 0
1313602.exe ,  1.66,  0.62,  0.60,  0.00,  0.04,   51639526,   47529000,    4045000,   63986507, c++, elite, mult, 0
1313602.exe ,  1.66,  0.63,  0.60,  0.00,  0.04,   51245576,   48207000,    3012000,   63519940, c++, elite, mult, 0
1313602.exe ,  1.60,  0.61,  0.59,  0.00,  0.03,   50035798,   46937000,    2995000,   62474214, c++, elite, mult, 0
1313602.exe ,  1.67,  0.63,  0.60,  0.00,  0.04,   51224037,   49189000,    2007000,   63578031, c++, elite, mult, 0
1313602.exe ,  1.62,  0.62,  0.60,  0.00,  0.04,   50905002,   49859000,    1017000,   63207994, c++, elite, mult, 0
1313602.exe ,  1.61,  0.62,  0.60,  0.00,  0.04,   51918314,   47897000,    3991000,   64253787, c++, elite, mult, 0
1313602.exe ,  1.62,  0.63,  0.60,  0.00,  0.04,   51540324,   49496000,    2020000,   63775583, c++, elite, mult, 0
1313602.exe ,  1.60,  0.61,  0.59,  0.00,  0.04,   50807013,   49775000,    1015000,   63104304, c++, elite, mult, 0
1333327.exe ,  1.58,  0.61,  0.59,  0.00,  0.04,   51159908,   47997000,    2999000,   63457072, c++, elite, mult, 0
1333327.exe ,  1.56,  0.61,  0.59,  0.00,  0.03,   50169509,   48128000,    2005000,   62395764, c++, elite, mult, 0
1333327.exe ,  1.64,  0.63,  0.62,  0.00,  0.04,   51384098,   45318000,    6042000,   63683338, c++, elite, mult, 0
1333327.exe ,  1.62,  0.62,  0.61,  0.00,  0.03,   50607296,   44538000,    5938000,   62881663, c++, elite, mult, 0
1333327.exe ,  1.65,  0.62,  0.60,  0.00,  0.04,   50554186,   39541000,   10874000,   62978100, c++, elite, mult, 0
1333327.exe ,  1.57,  0.59,  0.58,  0.00,  0.03,   50982103,   46070000,    4901000,   63222078, c++, elite, mult, 0
1333327.exe ,  1.58,  0.61,  0.59,  0.00,  0.04,   50957982,   47929000,    2995000,   63257461, c++, elite, mult, 0
1333327.exe ,  1.59,  0.61,  0.60,  0.00,  0.04,   51409324,   47222000,    4018000,   63648655, c++, elite, mult, 0
1333327.exe ,  1.59,  0.62,  0.60,  0.00,  0.04,   51045505,   47126000,    3927000,   63383375, c++, elite, mult, 0
1333327.exe ,  1.59,  0.62,  0.60,  0.00,  0.03,   50764758,   47795000,    2987000,   63165723, c++, elite, mult, 0
1383313.exe ,  3.47,  1.33,  1.29,  0.00,  0.07,  106893886,  100876000,    5992000,  120392806, c++, elite, mult, 0
1383313.exe ,  3.38,  1.34,  1.31,  0.00,  0.06,  105770346,   98673000,    6976000,  118056296, c++, elite, mult, 0
1383313.exe ,  3.32,  1.32,  1.28,  0.00,  0.06,  104526132,   99469000,    5023000,  116749090, c++, elite, mult, 0
1383313.exe ,  3.36,  1.33,  1.28,  0.00,  0.06,  104573417,   95500000,    8953000,  116998305, c++, elite, mult, 0
1383313.exe ,  3.34,  1.33,  1.31,  0.00,  0.06,  105682787,  101630000,    4024000,  117931750, c++, elite, mult, 0
1383313.exe ,  3.38,  1.34,  1.30,  0.00,  0.07,  106226398,  102221000,    3969000,  118543986, c++, elite, mult, 0
1383313.exe ,  3.37,  1.33,  1.29,  0.00,  0.07,  105718153,  101642000,    4025000,  117962737, c++, elite, mult, 0
1383313.exe ,  3.33,  1.32,  1.29,  0.00,  0.07,  106237235,  103200000,    3005000,  118491495, c++, elite, mult, 0
1383313.exe ,  3.37,  1.33,  1.29,  0.00,  0.06,  104903918,  100883000,    3995000,  117217125, c++, elite, mult, 0
1383313.exe ,  3.37,  1.34,  1.30,  0.00,  0.06,  105508576,  103464000,    2009000,  117878818, c++, elite, mult, 0
1514231.exe ,  1.81,  0.63,  0.60,  0.00,  0.05,   63972532,   53944000,    9989000,   77862358, c++, elite, mult, 0
1514231.exe ,  1.89,  0.70,  0.68,  0.00,  0.05,   58848472,   51837000,    6978000,   71159880, c++, elite, mult, 0
1514231.exe ,  1.87,  0.71,  0.68,  0.00,  0.05,   59291188,   52239000,    7032000,   71655787, c++, elite, mult, 0
1514231.exe ,  1.86,  0.71,  0.68,  0.00,  0.05,   59402521,   53338000,    6038000,   71706184, c++, elite, mult, 0
1514231.exe ,  1.84,  0.70,  0.68,  0.00,  0.05,   59031011,   53007000,    6000000,   71334343, c++, elite, mult, 0
1514231.exe ,  1.85,  0.71,  0.69,  0.00,  0.05,   59344432,   54289000,    5026000,   71584705, c++, elite, mult, 0
1514231.exe ,  1.82,  0.68,  0.67,  0.00,  0.05,   59515459,   53541000,    5949000,   71684290, c++, elite, mult, 0
1514231.exe ,  1.84,  0.69,  0.67,  0.00,  0.05,   58407517,   53361000,    5034000,   70691384, c++, elite, mult, 0
1514231.exe ,  1.83,  0.70,  0.68,  0.00,  0.05,   58931391,   49929000,    8987000,   71245944, c++, elite, mult, 0
1514231.exe ,  1.87,  0.71,  0.67,  0.00,  0.05,   59104180,   52062000,    7008000,   71291589, c++, elite, mult, 0
1524420.exe ,  3.66,  1.33,  1.29,  0.00,  0.08,  122615617,  116591000,    6030000,  137455839, c++, elite, mult, 0
1524420.exe ,  3.72,  1.46,  1.42,  0.00,  0.08,  117150428,  113129000,    4004000,  129383130, c++, elite, mult, 0
1524420.exe ,  3.60,  1.42,  1.38,  0.00,  0.07,  113811165,  108785000,    4990000,  126019746, c++, elite, mult, 0
1524420.exe ,  3.60,  1.42,  1.38,  0.00,  0.08,  114385982,  109418000,    4973000,  126651739, c++, elite, mult, 0
1524420.exe ,  3.62,  1.43,  1.39,  0.00,  0.07,  114142473,  110112000,    4004000,  126340428, c++, elite, mult, 0
1524420.exe ,  3.67,  1.43,  1.38,  0.00,  0.07,  114633276,  107585000,    6973000,  127047576, c++, elite, mult, 0
1524420.exe ,  3.62,  1.41,  1.38,  0.00,  0.07,  114263588,  110222000,    4008000,  126503854, c++, elite, mult, 0
1524420.exe ,  3.63,  1.41,  1.37,  0.00,  0.07,  114612166,  114563000,          0,  126838264, c++, elite, mult, 0
1524420.exe ,  3.67,  1.43,  1.39,  0.00,  0.08,  113926903,  111842000,    1997000,  126252631, c++, elite, mult, 0
1524420.exe ,  3.64,  1.42,  1.38,  0.00,  0.08,  113755277,  108665000,    4984000,  126000583, c++, elite, mult, 0
1557029.exe ,  3.37,  1.32,  1.28,  0.00,  0.06,  104302546,  100278000,    4011000,  117976669, c++, elite, mult, 0
1557029.exe ,  3.40,  1.33,  1.29,  0.00,  0.06,  105026725,  100999000,    3999000,  117382758, c++, elite, mult, 0
